"File","Close All","Ctrl+X Ctrl+C","In Windows"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"C/C++ Source","Surround With Quick Menu","Shift+Alt+Z","C/C++ Editor"
"Text Editing","Swap Mark","Ctrl+X Ctrl+X","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Refactor - C++","Extract Constant - Refactoring ","Alt+C","C/C++ Editor"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Undo","Ctrl+/","In Windows"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Navigate","Forward History","Alt+Right","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Edit","Select All","Ctrl+X H","In Dialogs and Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Edit","Word Completion","Ctrl+Alt+/","Editing Text"
"C/C++ Source","Show outline","Ctrl+O","C/C++ Editor"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Open Type Hierarchy","F4","C/C++ Editor"
"File","Close","Ctrl+W","In Windows"
"Text Editing","Page Down","Ctrl+V","Editing Text"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Text Editing","Text Start","Shift+Alt+<","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Next","Ctrl+.","In Windows"
"C/C++ Source","Back","Alt+Left","In Macro Expansion Hover"
"Project","Build All","Ctrl+B","In Windows"
"C/C++ Source","Sort Lines","Ctrl+Alt+S","C/C++ Editor"
"Edit","Context Information","Alt+?","In Windows"
"Reverse Debugging Commands","Uncall","Shift+F7","Debugging C/C++"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Text Editing","Cut to Beginning of Line","Esc 0 Ctrl+K","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In C/C++ Views"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Open Resource","Ctrl+X Ctrl+F","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Z","Editing Text"
"Task Repositories","Mark Task Unread","Shift+Alt+U","In Tasks Editor"
"File","Save","Ctrl+S","In Windows"
"Text Editing","Text Start","Esc <","Editing Text"
"C/C++ Source","Remove Block Comment","Shift+Ctrl+\","C/C++ Editor"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"View","Zoom In","Ctrl++","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
